iter	Logloss
0	0.6196942158
1	0.5643937891
2	0.5220143383
3	0.4867842816
4	0.4596216121
5	0.4400725467
6	0.4267690316
7	0.4156808573
8	0.4031628388
9	0.3919235589
10	0.3832084775
11	0.3769146527
12	0.3723248897
13	0.3681987008
14	0.3651068684
15	0.362160202
16	0.3599855948
17	0.3588772749
18	0.3573093859
19	0.3557190454
20	0.3553064529
21	0.354003791
22	0.3525807202
23	0.3524746272
24	0.3513578916
25	0.3502792777
26	0.3494654025
27	0.3490655544
28	0.3485514785
29	0.3475787027
30	0.3470809051
31	0.3464704539
32	0.3459024269
33	0.3453230118
34	0.3449795751
35	0.344333275
36	0.3442593342
37	0.3439307784
38	0.3436354009
39	0.3435023339
40	0.3432162934
41	0.3429624154
42	0.3424939468
43	0.3421405423
44	0.3416218677
45	0.3414654362
46	0.341009551
47	0.3408208756
48	0.3402181715
49	0.3400194343
50	0.3394955557
51	0.339335986
52	0.3390502199
53	0.3386916485
54	0.3385004892
55	0.3380983447
56	0.3380982271
57	0.3378813472
58	0.3376820955
59	0.337161588
60	0.3367541221
61	0.33642635
62	0.336381041
63	0.3362987713
64	0.3360519754
65	0.3358974921
66	0.3354184954
67	0.3351525314
68	0.3349728797
69	0.3346116882
70	0.3343348835
71	0.3342192711
72	0.3340772203
73	0.3339136517
74	0.3335800786
75	0.3331871574
76	0.3328303456
77	0.3326365599
78	0.3322846746
79	0.3320544433
80	0.3320032531
81	0.3318521348
82	0.3315316864
83	0.3310617701
84	0.3307960033
85	0.3304887219
86	0.3302817105
87	0.3298300748
88	0.3295318141
89	0.3292831989
90	0.3289935825
91	0.328650214
92	0.3282618541
93	0.327787023
94	0.3277185055
95	0.3273103017
96	0.3271320727
97	0.326811504
98	0.3263896132
99	0.3258376175
100	0.3256597709
101	0.3253124527
102	0.3248793299
103	0.3245435778
104	0.3242938603
105	0.3238656677
106	0.3235779302
107	0.3232990292
108	0.3229543229
109	0.3225375739
110	0.3223617361
111	0.3218600009
112	0.3215117544
113	0.321288877
114	0.3206150694
115	0.3200916598
116	0.3198327272
117	0.3195425948
118	0.3192177328
119	0.3189486187
120	0.318714166
121	0.3183981903
122	0.3182031761
123	0.3179605419
124	0.3177258637
125	0.3173165064
126	0.3168173976
127	0.3163554439
128	0.3158750598
129	0.3156848284
130	0.3156297043
131	0.3154764669
132	0.3150717467
133	0.3149383233
134	0.3145194163
135	0.314233395
136	0.3140356057
137	0.3137063637
138	0.3134350334
139	0.3130662216
140	0.3130102123
141	0.3127170273
142	0.3122348749
143	0.3120109335
144	0.3118073493
145	0.3113547643
146	0.3108698986
147	0.310575468
148	0.3102508416
149	0.3099635221
150	0.309647756
151	0.3090965114
152	0.3088589942
153	0.3086542199
154	0.308325802
155	0.3080294276
156	0.3076753596
157	0.3075680615
158	0.3073696913
159	0.3070802849
160	0.3069450616
161	0.3064430058
162	0.3059581003
163	0.3056216169
164	0.3054028229
165	0.3052006898
166	0.3049307468
167	0.3048669347
168	0.30455794
169	0.3043686282
170	0.3042077089
171	0.3041055728
172	0.3037252295
173	0.3034369039
174	0.3028904114
175	0.3025792502
176	0.3022347537
177	0.3019534012
178	0.3016680688
179	0.3016258837
180	0.3015690237
181	0.3013438178
182	0.3010374376
183	0.3006982798
184	0.3002302278
185	0.300173338
186	0.299857648
187	0.2998266691
188	0.2992003764
189	0.2989442738
190	0.2987844478
191	0.2985173705
192	0.2981629945
193	0.2979211248
194	0.297714641
195	0.2975270973
196	0.2971461527
197	0.297039205
198	0.2967784308
199	0.2965483148
200	0.296325006
201	0.295974428
202	0.2955858949
203	0.2952573002
204	0.2951655895
205	0.2949127914
206	0.2947485309
207	0.2943659373
208	0.2937540226
209	0.2933010233
210	0.2932053089
211	0.2931124473
212	0.2928562739
213	0.2925265643
214	0.292385649
215	0.2922068031
216	0.2919573449
217	0.2919033123
218	0.2917689085
219	0.2916891153
220	0.2914667283
221	0.2911317227
222	0.2907556847
223	0.2905385956
224	0.2901423428
225	0.2898870106
226	0.2896103799
227	0.2891415797
228	0.288933436
229	0.2887162837
230	0.2885075945
231	0.2882732324
232	0.2879449864
233	0.2877038825
234	0.2875422455
235	0.2873578007
236	0.2870010869
237	0.2866967743
238	0.286532039
239	0.286382593
240	0.2863089019
241	0.2861627152
242	0.2859105022
243	0.2858706435
244	0.2855090152
245	0.2853259481
246	0.2848369707
247	0.2845669602
248	0.284451434
249	0.2840022377
250	0.283775751
251	0.283556558
252	0.2830893048
253	0.2829306157
254	0.2827812503
255	0.2826336004
256	0.2822126345
257	0.2819431061
258	0.2817024754
259	0.2815622625
260	0.2810503972
261	0.280863925
262	0.2807500625
263	0.2806245822
264	0.2804420408
265	0.2802624158
266	0.2800948207
267	0.2799408027
268	0.279770649
269	0.2795688417
270	0.279418989
271	0.2792515832
272	0.2789470767
273	0.2786988305
274	0.2783113759
275	0.2778713921
276	0.2777973523
277	0.2777154824
278	0.2774348078
279	0.2772045555
280	0.2770843637
281	0.2769614394
282	0.2767079134
283	0.2764104743
284	0.2761549297
285	0.2760443867
286	0.2759277763
287	0.2756169364
288	0.2754193909
289	0.2751741212
290	0.2749676712
291	0.2747301928
292	0.2745286594
293	0.2742390789
294	0.2740987128
295	0.2736599339
296	0.2733341353
297	0.2732031141
298	0.2729750434
299	0.2727657392
300	0.2726964536
301	0.272445166
302	0.2722050161
