iter	Passed	Remaining
0	66	66251
1	96	48190
2	124	41324
3	139	34818
4	163	32597
5	184	30533
6	207	29391
7	216	26880
8	226	24905
9	232	23022
10	237	21337
11	242	19983
12	247	18805
13	252	17776
14	257	16887
15	262	16123
16	267	15492
17	273	14928
18	279	14406
19	284	13933
20	287	13399
21	292	12995
22	297	12629
23	302	12292
24	307	11986
25	312	11698
26	318	11477
27	323	11222
28	328	10993
29	333	10785
30	339	10605
31	345	10441
32	350	10271
33	358	10195
34	368	10151
35	375	10066
36	380	9914
37	386	9778
38	392	9679
39	399	9578
40	406	9504
41	412	9404
42	417	9293
43	423	9201
44	428	9095
45	433	8994
46	438	8893
47	443	8794
48	448	8712
49	453	8622
50	458	8534
51	463	8447
52	468	8364
53	473	8289
54	477	8209
55	483	8152
56	486	8042
57	492	7997
58	497	7936
59	502	7877
60	507	7818
61	512	7754
62	517	7692
63	522	7635
64	527	7583
65	531	7524
66	536	7474
67	541	7419
68	546	7367
69	550	7318
70	556	7275
71	561	7235
72	567	7210
73	573	7173
74	578	7137
75	584	7105
76	590	7073
77	595	7044
78	601	7013
79	607	6980
80	613	6957
81	619	6938
82	626	6926
83	637	6953
84	646	6964
85	655	6971
86	662	6947
87	667	6914
88	672	6879
89	676	6842
90	681	6809
91	686	6778
92	691	6745
93	696	6713
94	701	6681
95	707	6659
96	712	6631
97	717	6603
98	722	6573
99	726	6542
100	732	6516
101	737	6491
102	745	6488
103	754	6498
104	761	6490
105	769	6486
106	779	6502
107	789	6519
108	798	6525
109	804	6511
110	812	6508
111	822	6522
112	828	6505
113	837	6506
114	844	6500
115	852	6496
116	862	6509
117	870	6504
118	877	6496
119	889	6523
120	898	6524
121	904	6509
122	912	6504
123	920	6503
124	928	6497
125	937	6505
126	948	6522
127	956	6519
128	965	6517
129	971	6502
130	981	6508
131	988	6501
132	996	6496
133	1003	6485
134	1013	6494
135	1019	6477
136	1028	6477
137	1034	6462
138	1044	6470
139	1051	6458
140	1061	6464
141	1067	6449
142	1077	6458
143	1090	6479
144	1101	6496
145	1112	6505
146	1119	6495
147	1127	6489
148	1136	6490
149	1142	6474
150	1152	6482
151	1158	6464
152	1169	6473
153	1177	6468
154	1186	6470
155	1196	6474
156	1206	6478
157	1219	6498
158	1227	6491
159	1234	6482
160	1241	6467
161	1248	6459
162	1254	6440
163	1262	6433
164	1269	6422
165	1276	6415
166	1285	6414
167	1293	6404
168	1300	6395
169	1310	6396
170	1319	6395
171	1329	6402
172	1336	6388
173	1345	6389
174	1352	6375
175	1357	6357
176	1363	6339
177	1369	6323
178	1374	6305
179	1380	6288
180	1385	6270
181	1391	6252
182	1396	6234
183	1401	6217
184	1407	6200
185	1412	6182
186	1418	6165
187	1423	6147
188	1428	6130
189	1434	6116
190	1440	6100
191	1448	6093
192	1455	6084
193	1460	6068
194	1466	6055
195	1472	6038
196	1476	6018
197	1481	6002
198	1486	5983
199	1490	5963
200	1496	5949
201	1501	5931
202	1506	5916
203	1512	5901
204	1517	5883
205	1522	5868
206	1527	5850
207	1531	5832
208	1536	5815
209	1542	5803
210	1548	5789
211	1553	5774
212	1558	5758
213	1563	5742
214	1568	5726
215	1573	5711
216	1578	5696
217	1583	5680
218	1590	5671
219	1595	5655
220	1599	5639
221	1604	5623
222	1609	5606
223	1614	5593
224	1619	5579
225	1624	5563
226	1629	5547
227	1634	5532
228	1638	5516
229	1643	5501
230	1648	5486
231	1654	5475
232	1658	5461
233	1663	5444
234	1668	5432
235	1673	5418
236	1678	5403
237	1682	5388
238	1687	5372
239	1691	5356
240	1696	5344
241	1701	5329
242	1706	5314
243	1711	5301
244	1715	5287
245	1720	5273
246	1725	5260
247	1730	5247
248	1735	5234
249	1740	5221
250	1746	5210
251	1750	5197
252	1756	5185
253	1760	5171
254	1765	5157
255	1770	5144
256	1775	5132
257	1780	5119
258	1785	5108
259	1790	5095
260	1795	5082
261	1799	5069
262	1804	5055
263	1808	5041
264	1813	5029
265	1818	5017
266	1823	5006
267	1828	4993
268	1833	4981
269	1837	4967
270	1841	4955
271	1846	4941
272	1851	4929
273	1855	4917
274	1860	4904
275	1864	4892
276	1869	4879
277	1873	4866
278	1878	4854
279	1883	4842
280	1887	4830
281	1892	4817
282	1896	4804
283	1901	4793
284	1906	4783
285	1910	4770
286	1915	4759
287	1920	4747
288	1924	4734
289	1929	4723
290	1933	4711
291	1938	4700
292	1943	4688
293	1947	4677
294	1952	4665
295	1956	4654
296	1961	4642
297	1966	4631
298	1970	4619
299	1975	4609
300	1981	4600
301	1985	4589
302	1990	4578
303	1995	4567
304	1999	4556
305	2004	4545
306	2008	4534
307	2013	4523
308	2017	4512
309	2022	4501
310	2026	4489
311	2031	4479
312	2035	4468
313	2040	4457
314	2044	4446
315	2049	4436
316	2053	4425
317	2060	4418
318	2065	4408
319	2069	4398
320	2074	4388
321	2078	4377
322	2083	4366
323	2088	4357
324	2092	4346
325	2097	4336
326	2101	4325
327	2106	4315
328	2111	4305
329	2115	4295
330	2120	4285
331	2124	4275
332	2129	4265
333	2133	4254
334	2137	4243
335	2142	4234
336	2147	4224
337	2152	4215
338	2156	4205
339	2161	4195
340	2165	4185
341	2170	4175
342	2174	4165
343	2181	4159
344	2187	4153
345	2192	4144
346	2197	4135
347	2202	4126
348	2207	4117
349	2211	4107
350	2216	4099
351	2221	4090
352	2227	4083
353	2232	4073
354	2236	4064
355	2241	4055
356	2246	4045
357	2250	4036
358	2255	4026
359	2259	4017
360	2264	4008
361	2269	3999
362	2274	3990
363	2278	3981
364	2283	3972
365	2288	3964
366	2292	3954
367	2297	3945
368	2302	3937
369	2306	3927
370	2311	3918
371	2315	3909
372	2320	3900
373	2324	3891
374	2329	3882
375	2334	3873
376	2339	3866
377	2344	3858
378	2349	3848
379	2353	3840
380	2358	3831
381	2363	3823
382	2367	3814
383	2372	3805
384	2376	3796
385	2381	3787
386	2386	3779
387	2391	3771
388	2395	3762
389	2399	3753
390	2404	3744
391	2408	3736
392	2413	3728
393	2418	3719
394	2422	3711
395	2427	3702
396	2432	3694
397	2437	3686
398	2441	3677
399	2446	3669
400	2451	3661
401	2455	3653
402	2460	3644
403	2464	3636
404	2469	3628
405	2474	3619
406	2478	3611
407	2483	3603
408	2487	3595
409	2492	3586
410	2497	3578
411	2501	3570
412	2505	3561
413	2510	3552
414	2514	3544
415	2518	3536
416	2523	3528
417	2528	3519
418	2532	3511
419	2537	3504
420	2541	3495
421	2546	3487
422	2551	3480
423	2556	3472
424	2560	3464
425	2565	3457
426	2570	3449
427	2574	3441
428	2579	3433
429	2583	3425
430	2588	3417
431	2592	3409
432	2597	3401
433	2602	3393
434	2607	3386
435	2612	3378
436	2616	3370
437	2620	3362
438	2625	3355
439	2630	3348
440	2635	3340
441	2640	3332
442	2644	3325
443	2649	3317
444	2654	3311
445	2659	3303
446	2663	3295
447	2668	3288
448	2673	3280
449	2678	3273
450	2682	3265
451	2688	3259
452	2692	3251
453	2697	3244
454	2702	3236
455	2706	3229
456	2711	3221
457	2716	3214
458	2721	3207
459	2725	3200
460	2730	3192
461	2734	3184
462	2739	3177
463	2744	3169
464	2748	3162
465	2753	3155
466	2758	3148
467	2762	3140
468	2767	3133
469	2771	3125
470	2776	3118
471	2781	3111
472	2786	3104
473	2791	3097
474	2795	3089
475	2800	3082
476	2804	3075
477	2809	3067
478	2813	3060
479	2818	3053
480	2823	3046
481	2828	3039
482	2832	3032
483	2837	3025
484	2842	3018
485	2847	3011
486	2852	3005
487	2858	2998
488	2862	2991
489	2867	2984
490	2871	2977
491	2876	2970
492	2881	2962
493	2886	2956
494	2890	2949
495	2896	2942
496	2901	2936
497	2906	2929
498	2911	2923
499	2916	2916
500	2921	2909
501	2926	2903
502	2931	2896
503	2937	2890
504	2942	2884
505	2947	2877
506	2951	2870
507	2956	2863
508	2962	2857
509	2966	2850
510	2971	2843
511	2976	2836
512	2981	2830
513	2985	2823
514	2990	2816
515	2995	2809
516	2999	2802
517	3004	2796
518	3009	2789
519	3014	2782
520	3019	2775
521	3023	2768
522	3028	2762
523	3033	2755
524	3037	2748
525	3042	2741
526	3047	2734
527	3052	2728
528	3056	2721
529	3061	2715
530	3065	2707
531	3070	2701
532	3075	2694
533	3079	2687
534	3084	2680
535	3089	2674
536	3093	2667
537	3098	2660
538	3103	2654
539	3108	2647
540	3112	2641
541	3117	2634
542	3122	2628
543	3127	2621
544	3132	2615
545	3137	2608
546	3142	2602
547	3147	2596
548	3153	2590
549	3158	2584
550	3163	2577
551	3168	2571
552	3173	2565
553	3177	2558
554	3181	2551
555	3186	2544
556	3191	2538
557	3195	2531
558	3200	2524
559	3205	2518
560	3210	2512
561	3215	2505
562	3219	2499
563	3224	2492
564	3229	2486
565	3234	2479
566	3238	2473
567	3243	2466
568	3248	2460
569	3253	2454
570	3257	2447
571	3262	2441
572	3266	2434
573	3271	2427
574	3275	2421
575	3280	2414
576	3285	2408
577	3290	2402
578	3294	2395
579	3299	2388
580	3303	2382
581	3308	2375
582	3312	2369
583	3317	2363
584	3322	2356
585	3326	2350
586	3331	2344
587	3336	2337
588	3340	2331
589	3345	2324
590	3349	2318
591	3354	2311
592	3358	2305
593	3363	2298
594	3367	2292
595	3372	2286
596	3376	2279
597	3381	2273
598	3386	2266
